Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-05-06 09-AM,ETHUSD,158.09,163.04,157.86,161.74,4198.38,673378.76
2019-05-06 08-AM,ETHUSD,158.62,158.65,157.63,158.09,5439.44,861925.88
2019-05-06 07-AM,ETHUSD,158.72,159.47,158.22,158.62,3833.96,608274.34
2019-05-06 06-AM,ETHUSD,159.1,159.28,157.98,158.72,1158.71,183593.31
2019-05-06 05-AM,ETHUSD,159.57,159.83,158.9,159.1,1645.55,262309.61
2019-05-06 04-AM,ETHUSD,159.31,159.65,158.76,159.57,1161.75,185282.27
2019-05-06 03-AM,ETHUSD,159.69,160,158.88,159.31,494.21,78843.05
2019-05-06 02-AM,ETHUSD,159.49,159.96,159.19,159.69,375.41,59911.14
2019-05-06 01-AM,ETHUSD,160.61,160.63,158.61,159.49,3965.69,632949.7
2019-05-06 12-AM,ETHUSD,161.35,161.53,159.82,160.61,3694.87,593839.62
2019-05-05 11-PM,ETHUSD,161.56,161.91,161,161.35,998.86,161085.28
2019-05-05 10-PM,ETHUSD,162.03,162.11,161.3,161.56,814.56,131703.98
2019-05-05 09-PM,ETHUSD,162.96,163.49,161.48,162.03,1443.55,234802.62
